Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
Faraday's Magnets;Faraday's Magnets v5+0.23 -unknown;com.sciencevr.faraday.quest;5;2021-06-02 20:22 UTC;197
Fast Formula;Fast Formula v1+1.0 -unknown;com.FastFormula.FastFormula;1;2021-06-02 20:23 UTC;382
Fear Dead House;Fear Dead House v11+1.00 -QU;com.quest.tgs.vrghost;11;2021-06-02 20:22 UTC;91
Fear Within;Fear Within v1+1.0 -unknown;com.SAAPDigital.FearWithin;1;2021-06-02 20:22 UTC;354
Fighting Clans;Fighting Clans v1+0.3.7 -VRP;com.xocus.fightingclans;1;2021-10-01 16:44 UTC;572
FigureOut VR;FigureOut VR v1+1.0 -QU;com.figureout.questvr;1;2021-06-02 20:22 UTC;48
Fingers - Mini Games;Fingers - Mini Games v1+1.02 -unknown;com.dedm0zaj.FingersMiniGames;1;2021-06-02 20:22 UTC;177
First Person Tennis - The Real Tennis Simulator;First Person Tennis - The Real Tennis Simulator v5+3.6 -FFA;com.mikorigames.firstpersontennis;5;2021-12-12 15:11 UTC;786
FitXR - Boxing, HIIT and Dance Workouts;FitXR - Boxing, HIIT and Dance Workouts v188+1.18 -unknown;com.fitxr.boxvr;188;2021-06-02 20:23 UTC;1203
FitrisVR;FitrisVR v142+0.9 -VRP;com.funlifejapan.fitrisvr;142;2021-08-17 13:16 UTC;430
Five Nights at Freddy's - Help Wanted;Five Nights at Freddy's - Help Wanted v219+1.0.6 -QU;com.SteelWoolGames.fnafhw;219;2021-06-02 20:22 UTC;1828
Flappy Flappy VR;Flappy Flappy VR v3+1.0 -unknown;com.FlappyFlappyVR.www.VRmoo.cn;3;2021-06-02 20:23 UTC;115
Floor Plan 2;Floor Plan 2 v125+1.0.2.7 -QU;com.turbobutton.fp2;125;2021-06-02 20:22 UTC;998
Flow Weaver;Flow Weaver v46+1.1.0 -QU;ca.StitchMedia.FlowWeaver;46;2021-06-02 20:23 UTC;749
Flowborne - Breathing Meditation;Flowborne - Breathing Meditation v132+0.91 -VRP;com.br.flowborne;132;2021-09-24 13:46 UTC;242
Fly XR;Fly XR v1+0.01b -unknown;com.PlayHop.FlyXR;1;2021-06-02 20:22 UTC;137
Food Flinger;Food Flinger v1+1.0 -unknown;com.DashingCape.FoodFlinger;1;2021-06-02 20:22 UTC;59
ForeVR Bowl;ForeVR Bowl v220+1.0.220 -QU;com.forevr.bowling;220;2021-06-28 03:16 UTC;1171
Forklift Simulator;Forklift Simulator v10+1.0.10 -VRP;com.Chalkbites.ForkliftSimulatorQuest;10;2021-08-17 13:16 UTC;717
Frenzy VR;Frenzy VR v30+30 -FFA;com.InnoverseLtd.FrenzyVR;30;2021-11-11 16:10 UTC;329
Fruit Ninja;Fruit Ninja v579464+1.7.1.579464 -VRP;com.halfbrick.fruitninjavr;579464;2021-09-24 13:46 UTC;435
Fujii;Fujii v825+1.0 -QU (b);com.funktroniclabs.fuji;825;2021-06-02 20:22 UTC;380
Fun House;Fun House v2+1.1 -QU;com.fairview.funhouse;2;2021-05-31 21:23 UTC;113
Fundamental Force;Fundamental Force v6+0.3 -VRMOO;com.TheRingRobotics.FundamentalForce_v2;6;2021-08-17 13:18 UTC;578
Futbolin Revolution;Futbolin Revolution v1+0.1 -unknown;com.Pixelfun.FutbolinRevolution;1;2021-06-02 20:23 UTC;358
GORN;GORN v1906+1.2.1906 -FFA;com.freelives.gorn;1906;2021-10-16 04:18 UTC;471
Gadgeteer;Gadgeteer v79+1.0.17 -QU;com.metanaut.Gadgeteer;79;2021-06-02 20:23 UTC;586
Ghost Giant;Ghost Giant v32+1.0.32 -QU;com.zoink.ghostgiant;32;2021-06-02 20:22 UTC;1152
Gladiatus;Gladiatus v2+1.0 -QU;com.varonia.gladiatus;2;2021-05-31 21:34 UTC;351
Gladius VR;Gladius VR v19+1.4 -VRP;com.VirtualAge.GladiusQuest;19;2021-10-12 01:12 UTC;4026
Glitch Assassin;Glitch Assassin v1+1.0 -unknown;com.LoneWolfInteractive.GlitchAssassin;1;2021-06-02 20:22 UTC;605
Gloomy Eyes;Gloomy Eyes v40+40 -VRP;com.arte.gloomy_eyes;40;2021-09-24 13:46 UTC;2811
Golf 5 eClub;Golf 5 eClub v122+3.122 -VRP;com.aaagamestudios.golf5eclub;122;2021-10-01 16:32 UTC;980
Grapple Tournament;Grapple Tournament v39+0.21 -FFA;com.tomorrowgames.gtvr;39;2021-12-21 02:12 UTC;2339
Gravity Lab;Gravity Lab v161+1.161 -VRP;com.markschramm.gravitylab;161;2021-08-22 00:34 UTC;655
